       size                  sort           stable_sort        parallel::sort parallel::stable_sort
          1                  1000                  1100                  1100                  1100
          2                  2400                  1200                  1100                  1100
          4                  1000                  1100                  1100                  1200
          8                  1100                  1100                  1100                  1100
         16                  1100                  1200                  1100                  1200
         32                  1200                  1300                  1200                  1300
         64                  1200                  1300                  1100                  1300
        128                  1600                  1700                  1600                  1800
        256                  2600                  2900                  2700                  3000
        512                  5100                  6900                 12400                  7500
       1024                 22400                 63800                 18200                 19200
       2048                157700                183000                 45900                 30700
       4096                404300                229400                101500                103600
       8192                479800                944400                103700                111800
      16384               1870100                956700                454000                423000
      32768               3691900               2358800                424300               2736200
      65536               6703700               8398900                716500                790400
     131072              13682100              15782900               3462600               2747300
     262144              26870500              32351100               3986500               6697300
     524288              74462800              80365700              11218400              14631800
    1048576             158469500             158142000              21686700              23757200
